user_id,Arabic,English,French,German,Italian,Russian,Spanish,Turkish,other
8,0,4,1,0,0,0,0,5,0
10,0,1,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,5,5
12,0,3,0,0,0,0,0,5,0
13,0,4,0,2,0,0,0,0,0
14,0,3,0,0,0,0,0,5,0
17,0,1,0,0,0,0,0,1,0
18,0,0,0,0,0,0,0,1,0
20,0,3,0,0,0,0,0,5,0
22,0,3,0,0,0,0,0,5,0
26,0,2,0,0,0,0,0,5,0
32,0,3,0,0,0,0,0,5,0
38,0,3,0,0,0,0,0,5,0
39,0,2,0,0,0,0,0,0,0
44,0,2,0,0,0,0,0,5,0
49,0,1,0,0,0,0,0,0,0
50,0,2,0,0,0,0,0,0,0
53,0,2,0,1,0,0,0,0,0
56,0,3,0,0,0,0,0,5,0
57,0,2,0,0,0,0,0,5,1
60,0,2,0,0,0,0,0,5,0
63,0,4,0,0,0,0,0,5,0
64,0,1,0,0,0,0,0,1,0
66,0,2,0,0,0,0,0,5,0
67,0,1,0,0,0,0,0,1,0
70,0,2,0,0,0,0,0,5,0
73,0,3,0,0,0,0,1,0,0
75,0,1,0,0,0,0,0,0,0
80,0,1,0,0,0,0,0,1,0
81,0,3,0,0,0,0,0,5,0
83,0,3,0,1,0,0,0,0,0
85,0,3,0,0,0,0,0,0,1
86,0,1,0,0,0,0,0,1,0
92,0,3,0,0,0,0,0,5,0
93,0,1,0,0,0,0,0,0,0
99,0,1,0,0,0,0,0,1,0
100,0,0,0,0,0,0,0,0,1
102,0,2,0,0,0,0,0,5,0
107,0,3,0,0,0,0,0,5,0
110,0,3,0,0,0,0,0,0,0
111,0,2,0,0,0,0,0,5,0
114,0,2,0,0,0,0,0,5,0
115,0,2,0,0,0,0,0,5,0
119,0,2,0,0,0,0,0,0,0
120,0,1,0,1,0,0,0,1,0
122,0,1,0,0,0,0,0,0,0
125,0,3,0,0,0,0,0,5,0
129,0,3,0,1,0,0,0,5,3
130,0,0,0,0,0,0,0,5,3
134,0,2,0,0,0,0,0,5,0
135,0,3,0,0,0,0,0,5,0
136,0,3,0,0,0,0,0,5,1
140,0,1,0,1,0,0,0,1,0
141,0,4,0,2,0,0,0,0,0
149,0,0,0,0,0,0,0,0,1
154,0,1,0,0,0,0,0,1,0
156,0,0,0,0,0,0,0,0,1
157,0,3,0,0,0,0,0,5,0
159,0,3,0,0,0,0,0,5,1
163,0,2,0,0,0,0,0,0,0
164,0,2,0,0,0,0,0,5,0
166,0,3,0,0,0,0,1,0,0
167,0,3,0,0,0,0,0,0,0
169,0,3,0,0,0,0,0,5,0
171,0,1,0,0,0,0,0,1,0
172,0,0,0,0,0,0,0,0,1
175,0,3,0,2,0,0,0,0,0
180,0,2,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,1,1
189,0,0,0,0,0,0,0,5,2
194,0,3,0,0,0,0,0,5,0
195,0,2,0,0,0,0,0,5,0
197,0,2,0,0,0,0,0,0,0
198,5,4,0,0,0,0,0,4,0
201,0,2,0,0,0,0,0,5,0
202,0,2,0,0,0,0,0,0,0
203,0,1,0,1,0,0,0,1,0
206,0,3,0,0,0,0,0,5,0
210,0,3,0,0,0,1,0,0,0
216,0,2,0,0,0,0,0,5,0
218,0,2,0,0,0,0,0,5,0
220,0,4,0,0,0,0,0,0,0
222,0,3,0,0,0,0,0,5,0
223,0,4,0,0,0,0,1,5,0
224,0,3,0,0,0,0,0,5,0
226,0,1,0,0,0,0,0,1,0
227,0,1,0,0,0,0,0,0,0
228,0,2,0,1,0,0,0,5,0
233,0,2,0,0,0,0,0,1,0
235,0,3,0,0,0,0,0,0,0
236,0,4,0,0,0,0,0,0,0
237,0,3,0,0,0,0,0,0,0
238,0,1,0,0,0,0,0,5,5
243,0,3,0,0,0,0,0,5,1
244,0,4,0,0,0,0,0,0,0
248,0,1,0,0,0,0,0,5,0
249,0,1,0,0,0,0,0,0,0
251,0,2,0,0,0,0,0,5,0
255,0,2,0,0,0,0,0,5,0
256,0,4,0,0,0,0,0,5,0
260,0,4,0,0,0,0,0,0,0
268,0,3,0,1,0,0,0,5,0
276,0,3,0,0,0,0,0,5,0
277,0,2,0,0,0,0,0,0,5
278,0,4,0,0,0,0,0,5,0
281,0,3,0,0,0,0,0,5,0
282,0,3,0,0,0,0,0,5,1
286,0,3,0,0,0,0,0,5,0
290,0,3,0,0,0,0,0,0,0
292,0,2,0,0,0,0,0,0,0
304,0,1,0,0,0,0,0,0,0
305,5,2,0,0,0,0,0,3,0
307,0,2,0,0,0,0,0,0,0
310,0,2,0,0,0,0,0,0,0
311,0,2,0,0,0,0,0,5,0
314,0,3,0,0,0,0,0,4,4
320,0,2,0,0,0,0,0,5,0
321,0,2,0,0,0,0,0,0,0
322,0,3,0,0,0,0,0,5,0
327,0,2,0,0,0,0,0,0,1
334,0,1,0,0,0,0,0,1,0
337,0,1,0,0,0,0,0,0,0
338,0,2,0,1,0,0,0,0,0
341,0,3,0,0,0,0,0,5,0
345,0,0,0,0,0,0,0,5,3
346,0,2,0,0,0,0,0,0,0
347,0,2,0,0,0,0,0,5,1
351,0,1,0,0,0,0,0,1,0
353,0,2,0,0,0,0,0,5,0
356,0,3,0,0,0,0,0,5,0
358,0,3,0,1,0,0,0,0,0
361,0,1,0,0,0,0,0,0,0
364,0,1,0,0,0,0,0,1,0
372,0,2,0,0,0,0,0,5,0
373,0,1,0,0,0,0,0,1,0
377,0,3,0,0,0,0,0,0,0
378,0,3,0,0,0,0,0,5,0
381,0,2,0,0,0,0,0,5,0
383,0,1,0,0,0,0,0,0,0
388,0,3,0,0,0,0,0,5,0
390,0,3,0,0,0,0,0,5,0
395,0,3,0,0,0,0,0,0,0
398,0,2,0,0,0,0,1,5,0
404,0,2,0,0,0,0,0,5,0
406,0,3,0,0,0,0,0,5,0
409,0,1,0,0,0,0,0,5,0
410,0,3,0,2,0,0,0,0,0
416,0,1,0,0,0,0,0,1,0
418,0,0,0,0,0,0,0,0,1
419,0,4,0,0,0,0,0,5,0
420,0,2,0,0,0,0,0,0,0
421,0,3,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,5,2
429,0,2,0,0,0,0,0,0,0
431,0,1,0,0,0,0,0,5,5
432,0,1,0,1,0,0,0,0,0
433,0,1,0,0,0,0,0,5,0
435,0,0,0,0,0,0,0,0,1
436,0,1,0,0,0,0,0,1,1
437,0,3,0,0,0,0,0,0,0
440,0,3,0,0,0,0,0,0,0
441,0,1,0,0,0,0,0,1,0
442,0,3,0,0,0,0,0,5,0
